Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
Giant Beasts of Ars,3.05 Mediocre,ASAHI PRODUCTION,Original Work,?,~24min,TV-Series,12,2023,"In a world where myths are real and great heroes determine their own destiny with swords, there is a never-ending war between the so-called Kyojuu, who once created all land and the humans who – out of pure greed – wanted to steal it from them. Since these beasts did not want to be defeated, however, they decided to devour one human being after another. The ordinary mortals, on the other hand, used severed limbs as weapons to stand up to their enemies.  Jiiro lives in this conflicted world and earns his daily bread by hunting Kyojuu. One fateful day, he sees a girl being chased by some people and decides to save her. This girl is Kumi, who, from then on, does not want to leave her lifesaver’s side. A short time later, the two find out that certain people are apparently working on a secret experiment. Out of curiosity, Jiiro and Kumi decide to get to the bottom of this mystery. But soon, it turns out that this mystery is far from being the only one in the world. So will the pair manage to solve all of humanity’s mysteries? Or will they be stopped first by Kyojuu or even other humans? A mysterious and action-packed story takes its course!"
Lagrange: The Flower of Rin-ne 2,3.04 Mediocre,"XEBEC, Inc.",Original Work,Action,~24min,TV-Series,12,2012,
Love All Play,3.09 Mediocre,"Nippon Animation Co., Ltd., OLM, Inc.",Novel,Ganbatte,~24min,TV-Series,24,2022,"“Love All Play” tells the story of Ryou Mizushima, who joins the badminton club of his middle school highly motivated. Although the team is missing an actual trainer, Ryou manages to reach the prefectural tournament thanks to his physical strength. There he joins the team of the Yokohama Minato Highschool, where he and his many talented team members are being trained by the famous Coach Ebihara. Now he’s following his ambition to become a top class athlete and to lead his team to the inter-high tournament."
Magatsu Wahrheit,3.05 Mediocre,Yokohama Animation Lab,Video Game,Action Drama,~24min,TV-Series,12,2020,"Once countless humans living in the Wahrheit Empire were killed by monsters. The prophecy proclaimed that the “light” – the catastrophe causing the monsters to appear – will return.  Meanwhile, two young people, Inumael and Leocadio, are each on a journey through Wahrheit Empire. Inumael, a shy boy always thinking about the sister he has left behind, is now working as a transporter, while Leocadio, a new and naive soldier, dreams of his future in the military. Soon the fates of the two boys are intertwined by an arms trafficking incident that will drastically change the history of the whole empire."
Gurazeni: Money Pitch (Season 2),3.32 Excellent,"Studio DEEN Co., Ltd.",Manga,Ganbatte,~23min,TV-Series,12,2018,"In “Gurazeni: Money Pitch (Season 2)”, the second season of the anime adaptation of the baseball manga “Gurazeni”, we again follow relief pitcher Natsunosuke Honda and his team, the “Spiders 8”. In a team where each player is paid based on their performance, Natsunosuke is naturally keen to constantly find new and stronger opponents to compete with and further his growth as a player and his performance. Once again, the “Spiders 8” will play many exciting matches and Natsunosuke, who had to miss four months due to an injury, now wants to give everything to make up for the four months of absence!"
Kinnikuman: Perfect Origin Arc,3.32 Excellent,"Production I.G., Inc.",Manga,Action Comedy,~24min,TV-Series,11,2024,
Utakoi,3.08 Mediocre,"Yumeta Co., Ltd.",Manga,Romance,~25min,TV-Series,13,2012,"The ""Hyakunin Isshu"" are an anthology of one hundred poems found in a trational Japanese card game called Karuta. The show is introduced by the person who selected the writings, Fujiwara no Teika. This is a glimpse into the origin of some of them. Since the majority of them are love compositions, the focus remains on romance in ancient Japan."
B-Project: Zeccho Emotion,3.29 Excellent,BANDAI NAMCO Pictures Inc.,Other,Ganbatte,~24min,TV-Series,12,2019,"“B-Project: Zeccho Emotion”, the second season of the anime adaptation of the multimedia franchise “B-Project”, picks up seamlessly from the anime’s first season. Despite the confusion surrounding B-Pro’s switch from Gandara Music to Highedge Records, the concert took place at the Japan Dome Centre. However, although B-Pro have decided to stay with Gandara Music and Tsubasa Sumisora is thus still the troupe’s A&R person, the hatchet between her and her superior, Sakurata Yashamaru, has not really been buried. What the hell did Yashamaru, who was responsible for all the chaos surrounding the agency change, just mean by saying that Tsubasa’s father had “killed” his family?  While the guys from B-Pro continue to support Tsubasa and encourage her to look forward, they all don’t have long to rest after the concert at the Dome. The very next day they are busy with rehearsals and work sessions again, and it is not long before Tsubasa receives a call from Atsushi Daikoku, the chairman of Daikoku Productions, who tells her to take B-Pro to the headquarters of Gandara Music, as there is an important announcement for the group …"
Nyanko Days,3.03 Mediocre,EMT Squared,Manga,Comedy,~2min,TV-Series,12,2017,
Sora o Miageru Shoujo no Hitomi ni Utsuru Sekai,3.03 Mediocre,"Kyoto Animation Co., Ltd.",Original Work,Adventure,~24min,TV-Series,9,2009,"To save both the Magical Kingdom and the Heavens and restore the flow of akuto, the flow of energy of everything, the Magical King Munto must follow a vision and find the girl Yumemi in the normal world. Yumemi herself is just a normal girl except that she is the only one who can see the islands of the Heavens floating above. When Munto appears before her she starts thinking about hers and others responsibility to the world."
Battle Spirits: Brave,3.27 Excellent,SUNRISE Inc.,Other,Ganbatte,~25min,TV-Series,50,2010,"Two years after Dan’s battle against the king of the other world, when he and the other warriors saved humanity, he increasingly longs for a challenge. He easily wins every fighting tournament in the regular world and misses the thrill of seeing the spirits in the other world fully alive. One day, he is unexpectedly approached by Mai Shinomiya, who offers to take him to the future year 2650, where his superior skills are urgently needed. Determined to help her, he travels to her timeline to face the mysterious “Mazoku”, armed with new cards from the future."
Space Pirate Captain Harlock,3.06 Mediocre,"Toei Animation Co., Ltd.",Manga,Action,~25min,TV-Series,42,1978,"It was a prosperous era for mankind. Robots were sent into space to exploit the resources of other planets and shipped back. Everything was provided by the state so there was no need for people to work. Nonetheless the government feared an eventual revolt, so they inserted subliminal signals in the audio-visual feeds so that the people were content to watch and do nothing else. Captain Harlock feared for the future of humanity under such conditions and rebelled against the government becoming a pirate."
Doreiku: The Animation,3.03 Mediocre,"TNK Co., Ltd., ZERO-G, Inc.",Manga,Drama,~24min,TV-Series,12,2018,"The Slave Control Method, SCM for short, is a tool that can be used to enslave other people. There are many who attempt to use it to gain power. Yet, Yuga Oota possesses the SCM and wants to test it out. By coincidence, he runs into Eia Arakawa, a young woman. Out of curiosity, she helps him, which turns her life completely upside down."
Argevollen,3.03 Mediocre,"XEBEC, Inc.",Original Work,Action,~24min,TV-Series,24,2014,"Two countries, Alandas and Ingermia, have been warring against each other for a very long time. Tokimune, a young man belonging to the eighth independent unit, saves a girl named Jamie when she is attacked by enemy forces. In order to survive, he rides the new weapon Argevollen and fights."
